epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3690.79,1.66067,0.96772,1.29102,0.71093,0.70289,0.68321,0.32424,1.95573,1.23119,1.56381,0.00121591,0.00121591,0.00121591
43,3776.59,1.64102,0.89575,1.25597,0.63904,0.64672,0.68962,0.33935,2.00316,1.24249,1.58358,0.00120491,0.00120491,0.00120491
44,3863.75,1.60946,0.90535,1.26307,0.60639,0.64334,0.63284,0.32053,1.9432,1.12962,1.54791,0.00119391,0.00119391,0.00119391
45,3953.06,1.58776,0.91451,1.26179,0.66406,0.57766,0.6181,0.31014,1.97281,1.14019,1.55988,0.0011829,0.0011829,0.0011829
46,4039.55,1.57701,0.89108,1.25836,0.60189,0.64099,0.60627,0.31219,1.93863,1.20302,1.54525,0.0011719,0.0011719,0.0011719
47,4124.01,1.59277,0.90084,1.2547,0.7083,0.61963,0.66859,0.34182,1.98429,1.23487,1.57026,0.0011609,0.0011609,0.0011609
48,4210.95,1.57329,0.87981,1.25644,0.6574,0.81538,0.76842,0.4046,1.92526,1.09866,1.52339,0.0011499,0.0011499,0.0011499
49,4296.2,1.60512,0.8937,1.26254,0.69823,0.78302,0.75357,0.39525,1.93569,1.17406,1.52271,0.00113889,0.00113889,0.00113889
50,4384.42,1.60064,0.87934,1.21841,0.69761,0.69825,0.69179,0.36225,1.99543,1.17312,1.53794,0.00112789,0.00112789,0.00112789
51,4469.12,1.57423,0.86918,1.25306,0.75359,0.70096,0.72462,0.3766,2.04631,1.20796,1.56677,0.00111689,0.00111689,0.00111689
52,4556.28,1.55661,0.85768,1.21358,0.78766,0.66688,0.75527,0.40723,1.91353,1.09262,1.50435,0.00110589,0.00110589,0.00110589
53,4647.82,1.51309,0.86399,1.22354,0.64658,0.73499,0.73741,0.36517,1.93628,1.11689,1.52402,0.00109489,0.00109489,0.00109489
54,4737.89,1.56855,0.86664,1.22406,0.7245,0.70161,0.74708,0.3503,1.93875,1.18707,1.53696,0.00108388,0.00108388,0.00108388
55,4825.39,1.52239,0.86855,1.18742,0.71782,0.70381,0.73491,0.3514,1.91501,1.14817,1.53165,0.00107288,0.00107288,0.00107288
56,4911.25,1.47852,0.82047,1.18534,0.75123,0.71057,0.76229,0.4073,2.00145,1.17809,1.58572,0.00106188,0.00106188,0.00106188
57,5004.32,1.48923,0.81885,1.18586,0.76663,0.70538,0.77451,0.39339,2.00495,1.21227,1.57945,0.00105088,0.00105088,0.00105088
58,5092.57,1.43713,0.77972,1.17646,0.6768,0.79159,0.74769,0.3774,1.94293,1.12449,1.55865,0.00103987,0.00103987,0.00103987
59,5183.9,1.46238,0.80522,1.18711,0.69464,0.74002,0.78378,0.38522,1.97718,1.18561,1.57516,0.00102887,0.00102887,0.00102887
60,5266.85,1.46633,0.81745,1.20095,0.66948,0.67502,0.70291,0.37139,1.91942,1.15426,1.54009,0.00101787,0.00101787,0.00101787
61,5358.79,1.44478,0.81534,1.18672,0.76048,0.6544,0.71404,0.37308,1.96407,1.13796,1.57467,0.00100687,0.00100687,0.00100687
62,5448.08,1.41042,0.79122,1.18169,0.72182,0.70373,0.70285,0.36626,1.96549,1.14386,1.5847,0.000995866,0.000995866,0.000995866
63,5534.46,1.44298,0.76774,1.17437,0.75921,0.72959,0.71621,0.34221,2.02732,1.14772,1.6085,0.000984864,0.000984864,0.000984864
64,5622.99,1.41192,0.76792,1.15091,0.74023,0.75287,0.72993,0.3795,1.97751,1.12775,1.56727,0.000973861,0.000973861,0.000973861
65,5709.24,1.42154,0.77292,1.15159,0.71951,0.73434,0.71464,0.37209,2.01247,1.09441,1.56784,0.000962859,0.000962859,0.000962859
66,5799.76,1.39992,0.75824,1.11662,0.68535,0.70602,0.69977,0.3614,2.05271,1.14554,1.60854,0.000951857,0.000951857,0.000951857
67,5885.2,1.38797,0.72267,1.13793,0.73364,0.69813,0.71896,0.37996,1.98829,1.13615,1.57686,0.000940855,0.000940855,0.000940855
68,5972.51,1.39898,0.7497,1.13482,0.74799,0.6832,0.72888,0.39082,2.04506,1.17154,1.60968,0.000929853,0.000929853,0.000929853
69,6058.18,1.33983,0.71516,1.15556,0.76267,0.68155,0.70283,0.3949,1.98456,1.12398,1.58674,0.00091885,0.00091885,0.00091885
70,6146.73,1.30709,0.69368,1.12934,0.77988,0.68456,0.72147,0.40398,2.01804,1.13416,1.60862,0.000907848,0.000907848,0.000907848
71,6241.25,1.37497,0.74446,1.1377,0.77477,0.69067,0.72323,0.38576,2.08814,1.16079,1.65888,0.000896846,0.000896846,0.000896846
72,6329.5,1.31866,0.70407,1.17321,0.70503,0.76734,0.71141,0.3805,2.02453,1.11821,1.62063,0.000885844,0.000885844,0.000885844
73,6414.4,1.33934,0.70848,1.11303,0.68768,0.73143,0.71599,0.36001,2.01724,1.1518,1.6124,0.000874842,0.000874842,0.000874842
74,6500.47,1.33821,0.72183,1.16016,0.78951,0.65815,0.7031,0.38505,2.01977,1.13943,1.60978,0.000863839,0.000863839,0.000863839
75,6586.44,1.33443,0.69496,1.12862,0.71232,0.72575,0.70944,0.38016,1.99516,1.13631,1.62131,0.000852837,0.000852837,0.000852837
76,6675.83,1.32449,0.6966,1.11019,0.63862,0.7589,0.65561,0.35145,1.98701,1.21207,1.60928,0.000841835,0.000841835,0.000841835
77,6759.54,1.3153,0.69709,1.13639,0.66881,0.73036,0.67369,0.35256,1.96448,1.16096,1.60109,0.000830833,0.000830833,0.000830833
78,6846.2,1.29004,0.68312,1.11372,0.72597,0.74985,0.70216,0.36677,1.98807,1.11028,1.61204,0.000819831,0.000819831,0.000819831
79,6932.69,1.26208,0.67891,1.12133,0.78827,0.72406,0.72201,0.3659,1.99624,1.1346,1.60852,0.000808828,0.000808828,0.000808828
80,7023.35,1.24873,0.65816,1.09365,0.7437,0.66022,0.68441,0.36802,2.0317,1.24807,1.64415,0.000797826,0.000797826,0.000797826
81,7111.95,1.26091,0.6714,1.06934,0.75586,0.64917,0.67564,0.34976,2.0663,1.20178,1.66368,0.000786824,0.000786824,0.000786824
82,7196.82,1.24272,0.65416,1.08501,0.68802,0.72353,0.67796,0.35686,2.03126,1.16053,1.64601,0.000775822,0.000775822,0.000775822
83,7281.77,1.19422,0.63802,1.08078,0.80843,0.68984,0.72941,0.38417,2.00544,1.14757,1.62365,0.00076482,0.00076482,0.00076482
84,7368.69,1.21067,0.6344,1.06793,0.73738,0.69713,0.73368,0.40555,2.04178,1.2004,1.66695,0.000753817,0.000753817,0.000753817
85,7459.96,1.19189,0.65643,1.07803,0.71751,0.73696,0.715,0.40044,2.04725,1.20948,1.68117,0.000742815,0.000742815,0.000742815
86,7542.38,1.18422,0.65585,1.08347,0.72855,0.71301,0.72371,0.40176,2.0451,1.1986,1.6658,0.000731813,0.000731813,0.000731813
87,7629.01,1.17319,0.62054,1.04352,0.67603,0.78607,0.75637,0.40851,2.05959,1.21566,1.64801,0.000720811,0.000720811,0.000720811
88,7717.42,1.1557,0.60744,1.05167,0.74285,0.73051,0.734,0.42119,1.99666,1.16463,1.64179,0.000709809,0.000709809,0.000709809
89,7802.5,1.18752,0.6239,1.03492,0.76109,0.75441,0.76567,0.39284,2.07616,1.2752,1.68846,0.000698806,0.000698806,0.000698806
90,7890.96,1.15741,0.60548,1.03717,0.72959,0.75288,0.75294,0.39685,2.0875,1.28998,1.70187,0.000687804,0.000687804,0.000687804
91,7977.28,1.18283,0.61249,1.04654,0.6792,0.78543,0.74947,0.40723,2.06085,1.25886,1.70365,0.000676802,0.000676802,0.000676802
92,8065.48,1.15341,0.60151,1.04101,0.69935,0.78546,0.75078,0.39812,2.03281,1.16976,1.65487,0.0006658,0.0006658,0.0006658
