epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.28948,2.59024,3.90842,1.7719,0.02284,0.30602,0.01941,0.00599,2.25918,3.63388,1.46864,6.668e-05,6.668e-05,6.668e-05
2,5.64121,2.37923,2.76919,1.5243,0.71451,0.25599,0.16509,0.05942,2.16974,inf,1.47267,0.000147059,0.000147059,0.000147059
3,8.27709,1.99039,1.40514,1.25503,0.03231,0.24125,0.02274,0.01084,1.8903,inf,1.33788,0.000224138,0.000224138,0.000224138
4,10.7198,1.84736,1.27965,1.2002,0.52016,0.16114,0.01227,0.00599,1.93563,inf,1.39976,0.000297916,0.000297916,0.000297916
5,13.0539,1.85387,1.20995,1.26463,0.01309,0.11878,0.00777,0.00389,1.96593,inf,1.41434,0.000368394,0.000368394,0.000368394
6,15.3567,1.89597,1.19126,1.22387,0.01189,0.10773,0.00701,0.00336,2.0949,inf,1.53206,0.00043557,0.00043557,0.00043557
7,17.6836,1.83014,1.14669,1.19778,0.02148,0.16329,0.01214,0.00472,2.09381,inf,1.47193,0.000499447,0.000499447,0.000499447
8,20.5551,1.81066,1.18894,1.22812,0.07159,0.19199,0.03689,0.01449,2.11473,inf,1.49411,0.000560022,0.000560022,0.000560022
9,22.9906,1.82659,1.09259,1.2535,0.12488,0.52977,0.12219,0.0531,2.15876,inf,1.5507,0.000617297,0.000617297,0.000617297
10,25.2372,1.81569,1.16632,1.25277,0.25645,0.49494,0.13705,0.05093,2.01511,inf,1.42402,0.000671271,0.000671271,0.000671271
11,27.4918,1.7999,1.11026,1.22858,0.25939,0.47882,0.25322,0.0722,2.0829,6.63668,1.4423,0.000721944,0.000721944,0.000721944
12,29.8273,1.91416,1.11632,1.26442,0.28515,0.46839,0.18816,0.07328,2.11011,2.88591,1.47943,0.000769317,0.000769317,0.000769317
13,32.0247,1.89955,1.15371,1.22746,0.20378,0.38336,0.15539,0.05935,2.14097,3.9523,1.48767,0.000813389,0.000813389,0.000813389
14,34.2259,1.8348,1.0991,1.25697,0.04569,0.188,0.02597,0.01073,2.72274,12.7675,1.9897,0.000854161,0.000854161,0.000854161
15,36.4784,1.82857,1.12455,1.22213,0.02078,0.08318,0.00985,0.00529,3.44704,11.2511,2.40367,0.000891632,0.000891632,0.000891632
16,38.6404,1.77002,1.08344,1.22567,0.02957,0.11372,0.01592,0.008,3.39309,7.2725,2.25889,0.000925802,0.000925802,0.000925802
17,40.8343,1.75135,1.06476,1.2319,0.32729,0.14871,0.14142,0.06667,3.00521,3.52876,2.06172,0.000956671,0.000956671,0.000956671
18,43.0325,1.75713,1.0858,1.22796,0.39548,0.36687,0.32634,0.13194,2.46703,2.43147,1.73375,0.00098424,0.00098424,0.00098424
